"assetId","source","displayPurpose","scenesOrPrefabs","dimensions","pivot","meshCount","polygonCount","uvStatus","materialSlots","textureDependencies","lodAvailability","colliderDependencies","animationDependencies","placementSockets","visibleDefects","proposedAction","finalAction","testStatus"
"house.foundation.compact","src/house.js#createHouse","House foundation option: compact","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","c0f29a35-aeac-4ccd-9390-b813ef6a33ad; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.foundation.wide","src/house.js#createHouse","House foundation option: wide","city; builder preview; multiplayer visitors","8.1 × 6.735 × 6.535","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","0b94f8a4-9762-40ec-ace1-ff6023787c28; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.foundation.lshape","src/house.js#createHouse","House foundation option: lshape","city; builder preview; multiplayer visitors","8.15 × 6.735 × 6.735","local origin; contact plane Y=0","69","868","all mesh geometries have UV0","20","7886687b-5c22-4fb7-8185-33005028ef18; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.height.one","src/house.js#createHouse","House height option: one","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","86c5d4a5-a917-4895-b581-a33347211889; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.height.two","src/house.js#createHouse","House height option: two","city; builder preview; multiplayer visitors","5.925 × 9.235 × 6.735","local origin; contact plane Y=0","108","1290","all mesh geometries have UV0","20","40be7535-1cf7-4bd0-825e-10faa8cf21a7; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.height.attic","src/house.js#createHouse","House height option: attic","city; builder preview; multiplayer visitors","5.925 × 7.385 × 6.735","local origin; contact plane Y=0","69","858","all mesh geometries have UV0","20","7013eb5a-567b-4de9-ac95-0dc783370baa; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.roof.gable","src/house.js#createHouse","House roof option: gable","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","c7275bed-1f95-4067-b184-687e7e15fd86; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.roof.shed","src/house.js#createHouse","House roof option: shed","city; builder preview; multiplayer visitors","5.875 × 4.716 × 6.772","local origin; contact plane Y=0","61","708","all mesh geometries have UV0","16","f3b0ea67-a8d3-49cf-83a7-9acd0007c4ca; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.roof.flat","src/house.js#createHouse","House roof option: flat","city; builder preview; multiplayer visitors","5.775 × 3.844 × 6.56","local origin; contact plane Y=0","64","744","all mesh geometries have UV0","15","c4759dbd-9273-43f1-9b92-692e5c7dbb96; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.kit.cozy","src/house.js#createHouse","House window/door kit: cozy","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","0f8dda2f-2f74-4e0f-915b-fdf8c5b5b7c1; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
