"assetId","stablePath","materialChannel","sourceResolution","importedResolution","compression","colorSpace","mipmaps","wrapMode","filterMode","anisotropy","alphaUsage","memoryEstimate","relatedMaterials","licenseOrSource","finalDecision"
"tc_grass_color","src/materialLibrary.js#drawSurface(grass,color)","color","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","grass","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_grass_roughness","src/materialLibrary.js#drawSurface(grass,roughness)","roughness","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","grass","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_grass_height","src/materialLibrary.js#drawSurface(grass,height)","bump","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","grass","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_asphalt_color","src/materialLibrary.js#drawSurface(asphalt,color)","color","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","asphalt","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_asphalt_roughness","src/materialLibrary.js#drawSurface(asphalt,roughness)","roughness","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","asphalt","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_asphalt_height","src/materialLibrary.js#drawSurface(asphalt,height)","bump","512x512","512x512","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","1365 KiB per uploaded repeat variant","asphalt","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_pavers_color","src/materialLibrary.js#drawSurface(pavers,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","pavers","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_pavers_roughness","src/materialLibrary.js#drawSurface(pavers,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","pavers","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_pavers_height","src/materialLibrary.js#drawSurface(pavers,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","pavers","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_soil_color","src/materialLibrary.js#drawSurface(soil,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","soil","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_soil_roughness","src/materialLibrary.js#drawSurface(soil,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","soil","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
